11591809,AT,03,320,48.05043,15.0608,32014,Niederösterreich,Politischer Bezirk Scheibbs,Steinakirchen am Forst,Windpassing,Windpassing,,47,3261
11591878,AT,07,707,46.7568,12.53197,70704,Tirol,Politischer Bezirk Lienz,Anras,Erlbrücke,Erlbrücke,,62,9912
11592313,AT,07,707,46.75944,12.54501,70704,Tirol,Politischer Bezirk Lienz,Anras,Köden,Köden,,9,9912
11593783,AT,02,210,46.74636,14.00203,21005,Kärnten,Politischer Bezirk Feldkirchen,Himmelberg,Hochegg,Hochegg,,4,9562
11593931,AT,06,621,47.49589,15.38554,62128,Steiermark,Politischer Bezirk Bruck-Mürzzuschlag,Sankt Lorenzen im Mürztal,Mürzgraben,Mürzgraben,,130,"8644,8642"
11594197,AT,02,203,46.68663,12.85473,20321,Kärnten,Politischer Bezirk Hermagor,Lesachtal,Durnthal,Durnthal,,8,9653
11609668,AT,04,412,48.16085,13.45134,41229,Oberösterreich,Politischer Bezirk Ried im Innkreis,Schildorn,Auerding,Auerding,,29,4920
11609719,AT,04,417,47.94768,13.55812,41739,Oberösterreich,Politischer Bezirk Vöcklabruck,Seewalchen am Attersee,Gerlham,Gerlham,,154,4863
11609848,AT,04,418,48.23565,14.00521,41804,Oberösterreich,Wels-Land,Buchkirchen,Sommerfeld,Sommerfeld,,152,"4611,4612"
11609947,AT,04,405,48.3255,14.02637,40509,Oberösterreich,Politischer Bezirk Eferding,Pupping,Au bei hohen Steg,Au bei hohen Steg,,60,4070
11610740,AT,04,408,48.14238,13.74784,40806,Oberösterreich,Politischer Bezirk Grieskirchen,Gaspoltshofen,Oberbergham,Oberbergham,,39,4673
11610768,AT,04,404,48.19639,13.34543,40402,Oberösterreich,Politischer Bezirk Braunau am Inn,Aspach,Steinberg,Steinberg,,44,4933
11611745,AT,04,408,48.3967,13.71403,40816,Oberösterreich,Politischer Bezirk Grieskirchen,Natternbach,Au bei Ed,Au bei Ed,,29,4723
