3668400,CO,22,86760,1.14844,-77.0045,,Putumayo,Santiago,,Santiago,Santiago,"El Valle,Santiago",2715,"861068,861060,861067"
3675118,CO,26,68444,7.32233,-73.01516,,Santander,Matanza,,Matanza,Matanza,Matanza,1669,"680567,680561,680568"
3681605,CO,19,50318,3.88043,-73.76566,,Meta,Guamal,,Guamal,Guamal,Guamal,5026,"507058,507051,507057"
3690010,CO,02,05031,6.91016,-75.07764,,Antioquia,Amalfi,,Amalfi,Amalfi,"AFI,Amalfi",9733,"052848,052847,052840"
3828519,CO,08,18610,1.33196,-75.97409,,Caqueta,San José del Fragua,,San Jose Del Fragua,San José del Fragua,"San Jose del Fragua,San José del Fragua",0,"186070,186078,186077"
3665949,CO,26,68872,6.67169,-73.17421,,Santander,Villanueva,,Villanueva,Villanueva,Villanueva,3707,"684028,684027,684021"
3667780,CO,04,08770,10.33347,-74.88016,,Atlantico,Suan,,Suan,Suan,Suan,10381,"084067,084060"
3668888,CO,26,68705,6.99022,-72.907,,Santander,Santa Bárbara,,Santa Barbara,Santa Bárbara,"Santa Barbara,Santa Barbará,Santa Bárbara",291,"681037,681038,681021"
3669808,CO,26,68679,6.55952,-73.13637,,Santander,San Gil,,San Gil,San Gil,"San Chilis,San Gil,san khyl,san-khili,sheng xi er,سان خیل,სან-ხილი,聖希爾",33592,"684031,684038,684039,684037"
3671470,CO,12,23574,9.01811,-76.26413,,Cordoba,Puerto Escondido,,Puerto Escondido,Puerto Escondido,"Puerto Escondido,Puerto Escondito",3020,"235007,235001,235008"
3673164,CO,29,76520,3.53944,-76.30361,,Valle Del Cauca,Palmira,,Palmira,Palmira,Palmira,247986,"763531,763532,763537,763538,763547,763539,763533"
3681812,CO,36,15317,6.46243,-72.50465,,Boyaca,Guacamayas,,Guacamayas,Guacamayas,"Guacamaya,Guacamayas",772,"151220,151227"
3682458,CO,28,73275,4.29005,-74.81612,,Tolima,Flandes,,Flandes,Flandes,Flandes,20919,"733517,733510"
3683180,CO,27,70233,9.10193,-75.19508,,Sucre,El Roble,,El Roble,El Roble,El Roble,3324,"705057,705050,705058"
3686464,CO,36,15183,6.19053,-72.47588,,Boyaca,Chita,,Chita,Chita,Chita,2914,"151609,151601,151608,151607"
3687952,CO,02,05129,6.09106,-75.63569,,Antioquia,Caldas,,Caldas,Caldas,"Caldas,Kal'das,Kaldas,ka er da si,kaldas,Κάλδας,Кальдас,کالداس,კალდასი,卡爾達斯",65565,"055448,055447,055440"
3680539,CO,20,52356,0.82501,-77.63966,,Nariño,Ipiales,,Ipiales,Ipiales,"Gorad Ipijales,IPI,Ip'jales,Ipiales,Ipjalesas,yi pi ya lai si,Горад Іпіялес,Ипьялес,伊皮亞萊斯",77729,"524068,524067,524077,524069,524060,524078,524061"
3689187,CO,26,68079,6.63572,-73.22282,,Santander,Barichara,,Barichara,Barichara,Barichara,4149,"684047,684048,684041"
3667732,CO,09,19785,2.03805,-76.92446,,Cauca,Sucre,,Sucre,Sucre,Sucre,2552,"194068,194060,194067"
3667892,CO,36,15757,5.9817,-72.71503,,Boyaca,Socha,,Socha,Socha Viejo,"Socha,Socha Viejo",3353,"151640,151647"
3671497,CO,04,08573,10.98778,-74.95472,,Atlantico,Puerto Colombia,,Puerto Colombia,Puerto Colombia,Puerto Colombia,26227,"081007,081001,081008"
3689613,CO,29,76054,4.72342,-76.11909,,Valle Del Cauca,Argelia,,Argelia,Argelia,Argelia,3418,"761510,761517"
3666193,CO,02,05861,5.96278,-75.73806,,Antioquia,Venecia,,Venecia,Venecia,Venecia,5462,"056420,056427"
3673407,CO,09,19513,3.22038,-76.31385,,Cauca,Padilla,,Padilla,Padilla,Padilla,4472,"191547,191540"
3674735,CO,36,15455,5.19608,-73.14504,,Boyaca,Miraflores,,Miraflores,Miraflores,Miraflores,2766,"152660,152667"
3671020,CO,33,25599,4.51952,-74.59293,,Cundinamarca,Apulo,,Apulo,Apulo,"Apulo,Rafael Reyes",4084,"252657,252650"
3684666,CO,35,13244,9.7174,-75.12023,,Bolivar,El Carmen de Bolívar,,El Carmen De Bolivar,El Carmen de Bolívar,"Carmen,El Carmen,El Carmen de Bolivar,El Carmen de Bolívar,Karmen-de-Bolivar,Кармен-де-Боливар",47957,"132059,132050,132057,132058"
3669087,CO,02,05665,8.27515,-76.37641,,Antioquia,San Pedro de Uraba,,San Pedro De Uraba,San Pedro de Urabá,"NPU,San Pedro de Uraba,San Pedro de Urabá",11095,"057839,057837,057838,057830"
3681306,CO,33,25328,4.87739,-74.46744,,Cundinamarca,Guayabal de Siquima,,Guayabal De Siquima,Guayabal de Síquima,"Guayabal,Guayabal Siquima,Guayabal de Siquima,Guayabal de Síquima,Siquima,Síquima",1051,"253217,253210"
3681955,CO,33,25312,4.51997,-74.35261,,Cundinamarca,Granada,,Granada,Granada,"El Soche,Granada",0,"252250,252257"
3685994,CO,26,68209,6.35625,-73.24131,,Santander,Confines,,Confines,Confines,Confines,472,"683531,683537"
3688071,CO,29,76122,4.3324,-75.82665,,Valle Del Cauca,Caicedonia,,Caicedonia,Caicedonia,Caicedonia,32417,"762547,762548,762540"
3689570,CO,35,13052,10.25444,-75.34389,,Bolivar,Arjona,,Arjona,Arjona,Arjona,50405,"131028,131027,131020,131029"
3669458,CO,19,50686,4.46103,-73.68048,,Meta,San Juanito,,San Juanito,San Juanito,"San Juan,San Juanito",0,"501051,501057"
3675975,CO,21,54405,7.83793,-72.5037,,Norte De Santander,Los Patios,,Los Patios,Los Patios,Los Patios,58661,"541017,541018,541010"
3676661,CO,20,52405,1.93497,-77.30634,,Nariño,Leiva,,Leiva,Leiva,Leiva,3668,"527067,527060,527068"
3679776,CO,26,68377,5.86371,-73.96167,,Santander,La Belleza,,La Belleza,La Belleza,La Belleza,1649,"685067,685061"
3688811,CO,33,25095,4.87252,-74.53925,,Cundinamarca,Bituima,,Bituima,Bituima,Bituima,473,"253220,253227"
3668175,CO,02,05736,7.07993,-74.6989,,Antioquia,Segovia,,Segovia,Segovia,Segovia,39938,"052818,052810,052817"
3673849,CO,33,25488,4.30604,-74.62083,,Cundinamarca,Nilo,,Nilo,Nilo,Nilo,1117,"252408,252407,252401"
3688500,CO,36,15106,5.68822,-73.91784,,Boyaca,Briceño,,Briceño,Briceño,"Briceno,Briceño",632,"154677,154670"
3670199,CO,12,23672,9.3741,-75.75891,,Cordoba,San Antero,,San Antero,San Antero,San Antero,11610,"231527,231520,231528"
3672813,CO,33,25535,4.30722,-74.30056,,Cundinamarca,Pasca,,Pasca,Pasca,Pasca,3169,"252207,252201,252208"
3678190,CO,26,68397,6.17848,-73.58948,,Santander,La Paz,,La Paz,La Paz,La Paz,1135,"685511,685518,685517"
3687806,CO,16,41132,2.68489,-75.32311,,Huila,Campoalegre,,Campoalegre,Campoalegre,"Campoalegre,Kampoalegre,Sevilla,Кампоалегре",22568,"413028,413027,413020"
3763027,CO,15,94885,1.24511,-66.86467,,Guainia,La Guadalupe,,Guadalupe,La Guadalupe,"Guadalupe,La Guadalupe",0,942057
3666304,CO,10,20001,10.46314,-73.25322,,Cesar,Valledupar,,Valledupar,Valledupar,"VUP,Val'edupar,Valedupar,Valjeduparas,Valledupar,ba ye du pa er,bajedo~uparu,twrbw,wylydwpar,yedupaleu,Валедупар,Вальедупар,توربو,ویلیدوپار,ვალიედუპარი,バジェドゥパル,巴耶杜帕尔,예두파르",308237,"200018,200002,200007,200009,200004,200005,200008,200003,200017,200001"
3673431,CO,36,15511,5.13969,-73.39739,,Boyaca,Pachavita,,Pachavita,Pachavita,Pachavita,959,"153210,153217"
3688256,CO,29,76111,3.90089,-76.29783,,Valle Del Cauca,Guadalajara de Buga,,Guadalajara De Buga,Guadalajara de Buga,"Buga,Guadalajara de Buga,bu jia,buga,bwga,Буга,بوگا,ბუგა,布加",118004,"763049,763041,763048,763047,763042"
